House Type,Num People,Electricity Usage,Gas Usage,Energy Saving
Medium 2-3 bedroom,3,2981.93,7919.11,Yes
Medium 2-3 bedroom,3,3031.49,12952.88,No
4+ bedroom,4,4676.26,18652.7,No
Flat/1-bedroom,1,1463.72,6751.19,Yes
Flat/1-bedroom,1,1797.77,7897.83,No
4+ bedroom,4,4129.33,16610.11,Yes
Medium 2-3 bedroom,2,2161.28,12632.89,Yes
Medium 2-3 bedroom,2,2986.4,11614.56,Yes
Medium 2-3 bedroom,2,2436.62,10850.37,No
4+ bedroom,5,3961.73,17409.84,Yes
Medium 2-3 bedroom,2,2457.29,14005.76,No
Flat/1-bedroom,1,1198.93,10690.05,No
Medium 2-3 bedroom,3,2484.21,7503.26,No
Flat/1-bedroom,1,1606.58,10625.36,No
4+ bedroom,5,4205.03,17437.82,No
Medium 2-3 bedroom,2,2863.62,11599.15,No
4+ bedroom,6,4105.15,17559.05,No
Medium 2-3 bedroom,2,1951.4,11993.72,No
Medium 2-3 bedroom,2,2265.22,10635.32,Yes
Flat/1-bedroom,1,1702.39,9072.52,No
Medium 2-3 bedroom,2,3138.18,12759.87,No
Flat/1-bedroom,1,1895.86,8022.8,No
Flat/1-bedroom,1,1244.02,8320.97,No
4+ bedroom,4,4013.1,16551.1,No
4+ bedroom,4,4191.7,14674.75,No
4+ bedroom,5,2639.34,14050.74,Yes
4+ bedroom,4,3591.06,16345.89,No
Flat/1-bedroom,1,2199.44,7175.47,No
4+ bedroom,5,4643.14,18746.5,No
4+ bedroom,4,3921.66,15428.16,No
Flat/1-bedroom,1,1642.41,7557.75,No
Medium 2-3 bedroom,2,3191.86,9821.06,Yes
Medium 2-3 bedroom,2,2609.33,9556.59,No
Medium 2-3 bedroom,2,2295.55,10570.46,No
Flat/1-bedroom,1,1608.78,6116.85,Yes
4+ bedroom,5,3762.29,17748.0,No
Medium 2-3 bedroom,2,2670.64,10025.62,Yes
4+ bedroom,5,3820.75,20514.42,No
Medium 2-3 bedroom,3,2763.93,9889.08,Yes
Medium 2-3 bedroom,2,2236.17,11225.09,No
4+ bedroom,4,3468.85,15665.3,Yes
Medium 2-3 bedroom,2,2607.05,10382.66,No
4+ bedroom,4,3950.35,20790.28,No
Medium 2-3 bedroom,3,2889.52,12315.74,No
Medium 2-3 bedroom,2,3223.66,9986.99,No
Flat/1-bedroom,1,1757.92,7306.42,No
Medium 2-3 bedroom,2,2739.51,7630.51,No
Flat/1-bedroom,1,1597.64,7460.43,No
Flat/1-bedroom,1,2212.85,7098.28,No
Medium 2-3 bedroom,2,2063.7,11146.47,Yes
Flat/1-bedroom,1,1411.52,9534.23,No
Medium 2-3 bedroom,3,2336.77,11353.42,Yes
Medium 2-3 bedroom,2,2495.47,11591.32,No
Medium 2-3 bedroom,2,3207.76,11054.63,No
4+ bedroom,4,3819.53,18281.78,No
Medium 2-3 bedroom,3,2998.74,10402.83,No
Medium 2-3 bedroom,2,2463.28,11307.48,Yes
4+ bedroom,4,4816.97,15131.68,No
Medium 2-3 bedroom,2,2667.13,14230.71,No
Medium 2-3 bedroom,2,2619.12,10613.99,Yes
4+ bedroom,6,3713.09,15341.26,No
Medium 2-3 bedroom,2,2468.6,14499.97,No
Flat/1-bedroom,1,1550.32,8786.6,No
Medium 2-3 bedroom,3,2805.66,13502.23,No
Medium 2-3 bedroom,3,2271.77,7509.11,Yes
Medium 2-3 bedroom,2,2482.82,9744.21,Yes
Medium 2-3 bedroom,3,3192.91,14263.43,No
4+ bedroom,4,4349.19,18184.65,No
Medium 2-3 bedroom,2,3451.91,10319.18,No
4+ bedroom,4,2869.71,17244.99,Yes
Medium 2-3 bedroom,2,2094.41,10010.44,No
Medium 2-3 bedroom,2,2300.12,10383.89,Yes
Medium 2-3 bedroom,2,2420.22,9331.91,Yes
4+ bedroom,5,4748.07,19744.82,No
Flat/1-bedroom,1,2050.93,5880.71,No
Medium 2-3 bedroom,3,3119.67,10556.81,No
Medium 2-3 bedroom,2,2490.25,8572.8,Yes
Medium 2-3 bedroom,3,3321.16,12503.58,No
Medium 2-3 bedroom,3,2815.09,10617.55,Yes
Medium 2-3 bedroom,3,2247.79,10122.15,Yes
Medium 2-3 bedroom,2,2817.91,13440.76,No
4+ bedroom,5,4104.09,15909.08,No
Medium 2-3 bedroom,3,2213.45,12449.82,No
Medium 2-3 bedroom,3,2513.2,10763.19,No
Medium 2-3 bedroom,2,1291.86,11098.9,No
Flat/1-bedroom,1,1185.4,5370.96,Yes
4+ bedroom,4,3323.14,16658.27,Yes
Medium 2-3 bedroom,2,2841.86,10724.85,No
Medium 2-3 bedroom,3,2532.46,12981.65,No
