House Type,Num People,Electricity Usage,Gas Usage,Energy Saving
Medium 2-3 bedroom,2,3770.63,12123.35,Yes
Flat/1-bedroom,1,2070.66,8049.41,No
4+ bedroom,4,5949.56,20308.68,Yes
Medium 2-3 bedroom,3,2524.75,14539.07,Yes
4+ bedroom,4,5582.38,23757.51,Yes
Flat/1-bedroom,1,2302.6,9040.37,Yes
4+ bedroom,4,5823.53,25072.61,No
Medium 2-3 bedroom,2,3536.17,17636.01,No
Medium 2-3 bedroom,2,3444.87,14060.11,No
Medium 2-3 bedroom,2,3329.66,14420.12,No
Medium 2-3 bedroom,2,3929.0,12215.33,No
Flat/1-bedroom,1,2082.96,8161.73,Yes
Medium 2-3 bedroom,2,2980.8,13491.39,No
Flat/1-bedroom,1,2038.5,9189.11,No
4+ bedroom,4,6717.52,17822.55,No
4+ bedroom,5,4869.61,18067.87,No
Flat/1-bedroom,1,2310.65,6544.92,No
Medium 2-3 bedroom,2,3075.48,16769.57,No
Medium 2-3 bedroom,2,3349.82,6646.97,Yes
Medium 2-3 bedroom,2,3911.99,16082.94,Yes
Flat/1-bedroom,1,2766.79,9862.24,Yes
Medium 2-3 bedroom,2,4176.6,15034.51,No
4+ bedroom,4,5464.02,25293.27,No
Flat/1-bedroom,1,2145.19,10402.03,No
Medium 2-3 bedroom,2,3581.51,17958.69,No
Flat/1-bedroom,1,2338.88,10176.46,Yes
Flat/1-bedroom,1,2117.11,7814.77,Yes
Flat/1-bedroom,1,1708.91,9837.72,Yes
4+ bedroom,4,6128.9,18977.55,No
4+ bedroom,4,5210.85,27500.1,No
4+ bedroom,5,5183.34,28892.13,No
4+ bedroom,4,6369.49,21014.51,No
Medium 2-3 bedroom,2,3663.25,18062.77,No
Medium 2-3 bedroom,2,3823.41,15849.53,No
4+ bedroom,4,5455.76,21466.02,Yes
4+ bedroom,6,5402.6,23086.8,No
4+ bedroom,4,5707.91,23441.05,No
